   1     1  1234567890                                                                                                      
 117  1161  3542198760                                                                                                      1
 118  1171  5341289670                                                                                                      3
 119  1181  3514829760                                                                                                      7
 120  1191  5318492670                                                                                                      3
 121  1201  5134829760                                                                                                      1
 122  1211  1538492670                                                                                                      3
 123  1221  1354829760                                                                                                      1
 124  1231  3158492670                                                                                                      3
 125  1241  1385942760                                                                                                      7
 126  1251  3189524670                                                                                                      3
 127  1261  3815942760                                                                                                      1
 128  1271  8319524670                                                                                                      3
 129  1281  8135942760                                                                                                      1
 130  1291  1839524670                                                                                                      3
 131  1301  8193254760                                                                                                      7
 132  1311  1892345670                                                                                                      3
 133  1321  1983254760                                                                                                      1
 134  1331  9182345670                                                                                                      3
 135  1341  9813254760                                                                                                      1
 136  1351  8912345670                                                                                                      3
 137  1361  9821436570                                                                                                      9
 138  1371  8924163750                                                                                                      3
 139  1381  8291436570                                                                                                      1
 140  1391  2894163750                                                                                                      3
 141  1401  2981436570                                                                                                      1
 142  1411  9284163750                                                                                                      3
 143  1421  2948617350                                                                                                      9
 144  1431  9246871530                                                                                                      3
 145  1441  9428617350                                                                                                      1
 146  1451  4926871530                                                                                                      3
 147  1461  4298617350                                                                                                      1
 148  1471  2496871530                                                                                                      3
 149  1481  4269785130                                                                                                      9
 150  1491  2467958310                                                                                                      3
 151  1501  2649785130                                                                                                      1
 152  1511  6247958310                                                                                                      3
 153  1521  6429785130                                                                                                      1
 154  1531  4627958310                                                                                                      3
 155  1541  6472593810                                                                                                      9
 156  1551  4675239180                                                                                                      3
 157  1561  4762593810                                                                                                      1
 158  1571  7465239180                                                                                                      3
 159  1581  7642593810                                                                                                      1
 160  1591  6745239180                                                                                                      3
 161  1601  7654321980                                                                                                      9
 162  1611  6753412890                                                                                                      3
 163  1621  6574321980                                                                                                      1
 164  1631  5673412890                                                                                                      3
 165  1641  5764321980                                                                                                      1
 166  1651  7563412890                                                                                                      3
 167  1661  5736142980                                                                                                      7
 168  1671  7531624890                                                                                                      3
 169  1681  7356142980                                                                                                      1
 170  1691  3751624890                                                                                                      3
 171  1701  3576142980                                                                                                      1
 172  1711  5371624890                                                                                                      3
 173  1721  3517264980                                                                                                      7
 174  1731  5312746890                                                                                                      3
 175  1741  5137264980                                                                                                      1
 176  1751  1532746890                                                                                                      3
 177  1761  1357264980                                                                                                      1
 178  1771  3152746890                                                                                                      3
 179  1781  1325476980                                                                                                      7
 180  1791  3124567890                                                                                                      3
 181  1801  3215476980                                                                                                      1
 182  1811  2314567890                                                                                                      3
 183  1821  2135476980                                                                                                      1
 184  1831  1234567890                                                                                                      3
 185  1841  1234567890                                                                                                      =
 186  1851  1234567890                                                                                                      =
 187  1861  1234567890                                                                                                      =
 188  1871  1234567890                                                                                                      =
